year,location,percent_obese
2017,Minnesota,39.3
2012,California,16.8
2017,New Mexico,33.0
2017,Montana,22.0
2017,Kentucky,39.9
2017,Rhode Island,26.1
2017,California,9.7
2017,New York,31.8
2017,New York,18.7
2017,Montana,30.1
2017,Texas,32.7
2017,Pennsylvania,29.8
2017,Ohio,32.5
2017,Indiana,31.4
2017,South Dakota,33.3
2017,Kentucky,34.5
2017,New Mexico,34.7
2017,Montana,27.6
2017,Massachusetts,25.9
2017,New Jersey,25.7
2017,North Carolina,15.6
2017,Nebraska,35.3
2017,South Dakota,27.8
2017,Arkansas,36.3
2017,Rhode Island,29.3
2017,Massachusetts,29.9
2017,South Carolina,43.7
2017,Mississippi,44.9
2017,Puerto Rico,39.0
2017,Maryland,36.1
2017,Virginia,30.1
2017,Nebraska,4.1
2017,Mississippi,36.6
2017,Kansas,27.4
2017,Rhode Island,9.8
2017,Wyoming,23.6
2017,Wyoming,33.3
2017,New York,28.4
2017,Florida,25.9
2017,Wyoming,21.8
2017,District of Columbia,16.0
2017,West Virginia,43.8
2017,Connecticut,35.5
2017,Delaware,31.3
2017,Rhode Island,34.8
2017,South Dakota,32.4
2017,Georgia,29.3
2017,Ohio,37.5
2017,New Hampshire,35.4
2017,Louisiana,37.7
2017,Colorado,27.1
2017,Guam,40.5
2017,Georgia,30.2
2017,Alabama,36.3
2017,Colorado,28.5
2017,Idaho,16.2
2017,Ohio,30.9
2017,Missouri,30.7
2017,Pennsylvania,27.7
2017,California,25.1
2017,Connecticut,30.0
2017,Wyoming,29.1
2017,Mississippi,39.9
2017,Indiana,38.0
2017,Puerto Rico,28.6
2017,Arkansas,38.8
2017,Louisiana,34.9
2017,Nebraska,31.8
2017,Delaware,40.2
2017,Arizona,27.8
2017,Hawaii,27.6
2017,Nebraska,29.2
2017,Virginia,24.7
2017,California,28.0
2017,South Dakota,33.9
2017,Pennsylvania,32.7
2017,Delaware,7.7
2017,Montana,29.1
2017,South Carolina,36.8
2017,North Dakota,35.0
2017,Indiana,33.7
2017,California,32.3
2017,New Hampshire,25.4
2017,Alabama,31.7
2017,Utah,13.3
2017,New Jersey,36.3
2017,Indiana,30.5
2017,Oregon,32.8
2017,Oklahoma,38.6
2017,New Jersey,29.8
2017,Alabama,36.3
2017,New Jersey,28.6
2017,Utah,27.6
2017,Alabama,20.7
2017,Mississippi,41.4
2017,New Hampshire,25.9
2017,Maryland,42.1
2017,Louisiana,40.9
2017,South Dakota,28.9
2017,Wisconsin,35.1
2017,Arkansas,41.8
2017,Wisconsin,34.2
2017,California,31.8
2017,Oklahoma,15.4
2017,New York,12.3
2017,New Hampshire,17.1
2017,Alaska,23.0
2017,Kansas,25.8
2017,Wisconsin,37.2
2017,New Hampshire,25.6
2017,Connecticut,34.1
2017,Mississippi,42.8
2017,Montana,23.3
2017,Vermont,35.0
2017,Nevada,27.2
2015,Puerto Rico,28.7
2017,Iowa,42.4
2017,Wyoming,19.1
2014,Puerto Rico,26.6
2017,New Hampshire,25.8
2017,Nevada,28.8
2017,Alaska,36.1
2017,California,22.6
2017,Missouri,29.0
2017,Idaho,25.3
2017,South Carolina,41.2
2017,Utah,24.3
2017,Delaware,28.9
2017,California,24.2
2017,North Dakota,33.1
2017,Nevada,28.9
2017,Colorado,13.0
2014,Nebraska,31.7
2015,Hawaii,23.3
2011,Rhode Island,25.9
2014,Hawaii,27.0
2012,California,27.0
2012,South Dakota,32.0
2011,Nevada,29.7
2015,Kentucky,44.3
2011,Pennsylvania,33.8
2013,New Hampshire,23.3
2013,Nevada,25.9
2011,New Hampshire,32.4
2015,Maine,31.7
2014,Ohio,7.8
2011,Virginia,33.6
2013,Massachusetts,29.0
2011,Indiana,30.3
2013,Washington,27.0
2014,Massachusetts,25.3
2011,South Carolina,16.3
2013,Kansas,31.4
2011,Maryland,31.0
2014,District of Columbia,10.3
2012,Washington,30.1
2012,Idaho,32.5
2013,Ohio,32.5
2015,Iowa,29.3
2015,New York,35.1
2015,California,30.2
2013,Wyoming,32.4
2013,North Carolina,27.2
2011,Arizona,18.7
2014,North Dakota,34.3
2013,District of Columbia,13.5
2012,Arkansas,30.7
2015,Rhode Island,29.3
2015,Utah,28.5
2012,Nevada,32.5
2014,Wyoming,44.0
2013,North Dakota,31.0
2012,Michigan,35.6
2014,Utah,28.6
2013,Louisiana,38.4
2013,Illinois,26.5
2011,New Hampshire,27.4
2011,Nebraska,30.3
2013,Utah,25.5
2013,Rhode Island,23.5
2013,North Dakota,26.8
2015,New York,26.4
2011,New Mexico,27.7
2015,Minnesota,30.3
2012,Massachusetts,22.0
2014,Rhode Island,27.1
2015,Delaware,36.1
2013,Virginia,12.4
2015,Indiana,29.5
2013,New Mexico,26.9
2011,Mississippi,29.2
2012,Wisconsin,16.9
2014,Rhode Island,13.3
2012,West Virginia,26.1
2011,Pennsylvania,33.9
2015,New York,21.5
2012,Arkansas,41.0
2011,Massachusetts,28.0
2014,Nebraska,18.4
2013,Texas,29.8
2013,Pennsylvania,4.0
2014,New Hampshire,36.7
2012,New Hampshire,2.0
2012,New Mexico,28.6
2012,Michigan,33.9
2013,Nebraska,24.3
2013,California,21.8
2013,North Carolina,28.6
2014,Pennsylvania,35.4
2015,Utah,56.5
2013,Indiana,35.1
2011,Colorado,10.2
2014,Georgia,29.5
2014,Louisiana,37.8
2015,California,26.1
2013,Montana,26.4
2011,Kentucky,43.2
2011,Minnesota,28.9
2011,Kansas,29.1
2014,Florida,27.3
2013,Maine,44.7
2014,New York,23.7
2015,Massachusetts,25.4
2011,Maine,15.0
2015,Arkansas,35.1
2014,California,22.7
2013,Kansas,37.0
2014,Kansas,36.7
2014,Illinois,35.8
2012,North Dakota,31.2
2013,Alaska,27.0
2011,Kansas,24.4
2014,North Dakota,32.2
2014,North Carolina,33.8
2015,New York,20.1
2013,Utah,23.6
2013,Wyoming,32.7
2011,Iowa,33.8
2015,South Dakota,34.8
2011,North Dakota,25.1
2011,Utah,31.2
2011,Indiana,31.8
2013,Michigan,32.7
2015,Pennsylvania,31.8
2013,Wyoming,28.2
2012,Mississippi,34.6
2011,Montana,29.9
2011,Maine,14.8
2013,New York,28.9
2012,Missouri,37.0
2012,Washington,29.9
2011,California,23.1
2013,Massachusetts,24.1
2015,Tennessee,27.7
2011,California,22.0
2015,Kentucky,25.8
2012,Minnesota,27.0
2014,Louisiana,38.5
2011,Arkansas,30.7
2013,Kansas,26.2
2013,Missouri,36.4
2011,North Dakota,26.9
2011,District of Columbia,10.7
2011,Alabama,32.0
2013,New Jersey,27.8
2012,Massachusetts,30.4
2014,Idaho,31.8
2011,Arizona,13.0
2014,Delaware,30.8
2011,Louisiana,17.0
2014,Indiana,38.8
2013,Florida,28.4
2013,Virginia,26.4
2011,Virginia,25.2
2011,West Virginia,37.1
2014,North Dakota,29.4
2015,Kansas,35.8
2011,Wyoming,26.1
2014,Nevada,27.4
2014,District of Columbia,28.8
2012,Michigan,33.2
2015,Wisconsin,14.1
2013,Oregon,23.1
2013,Illinois,7.9
2013,South Dakota,27.8
2015,Michigan,31.8
2013,Tennessee,35.7
2014,Virginia,27.7
2011,Michigan,32.1
2011,North Carolina,30.3
2013,Colorado,23.7
2013,Arkansas,38.5
2013,Missouri,30.2
2014,Vermont,27.1
2014,Georgia,37.7
2011,Louisiana,33.8
2012,Alabama,24.4
2015,New Jersey,27.0
2015,Iowa,38.7
2015,Indiana,30.9
2014,Colorado,22.2
2011,New Hampshire,28.6
2015,Illinois,37.4
2012,Minnesota,23.3
2012,Vermont,23.0
2012,Mississippi,43.2
2013,North Carolina,31.1
2015,West Virginia,20.7
2012,Alaska,26.4
2012,Washington,26.8
2011,Ohio,31.6
2011,Maryland,28.3
2012,Missouri,33.9
2013,Oregon,10.0
2011,Nevada,18.1
2011,Maryland,29.3
2011,South Dakota,39.9
2012,California,23.2
2011,Florida,23.4
2013,Pennsylvania,34.5
2012,Rhode Island,24.2
2014,Wyoming,24.7
2011,Wisconsin,33.8
2011,Texas,27.0
2015,Texas,35.7
2015,North Dakota,39.3
2015,Colorado,20.2
2014,Kentucky,33.3
2012,Arkansas,38.9
2012,Missouri,29.6
2011,Wyoming,28.7
2014,Connecticut,31.7
2014,Alabama,31.4
2015,Illinois,34.9
2011,Arizona,19.7
2014,Wisconsin,29.9
2013,Maryland,27.8
2015,South Dakota,30.2
2011,Oregon,23.8
2012,Kentucky,28.7
2011,Pennsylvania,32.7
2014,Missouri,32.7
2012,District of Columbia,24.1
2013,North Dakota,28.6
2011,District of Columbia,0.9
2011,Kentucky,34.4
2012,Iowa,37.8
2011,Minnesota,28.6
2011,South Carolina,38.9
2011,Wyoming,24.4
2011,Maryland,31.2
2012,Delaware,26.9
2015,New Mexico,29.2
2012,Virginia,33.9
2014,Virginia,28.5
2015,Wyoming,30.1
2013,Arizona,42.5
2011,Illinois,28.0
2014,Minnesota,33.0
2013,Alaska,32.3
2014,California,22.7
2011,North Dakota,29.2
2011,Washington,18.8
2011,Illinois,39.2
2015,Ohio,29.0
2012,Virginia,26.0
2012,Connecticut,27.1
2013,Louisiana,28.2
2013,Nevada,25.1
2014,Virginia,29.8
2013,District of Columbia,30.1
2014,Michigan,36.5
2012,Rhode Island,13.7
2012,Virginia,27.3
2011,Pennsylvania,29.9
2012,Alabama,33.0
2014,Maine,28.2
2011,Alaska,24.5
2015,Hawaii,55.3
2013,Minnesota,24.8
2012,North Carolina,26.2
2011,Arkansas,30.4
2013,South Carolina,36.1
2011,Nevada,24.6
2015,Arizona,28.0
2014,Nebraska,31.7
2015,Oregon,30.1
2013,District of Columbia,13.7
2014,Virginia,27.8
2011,Nevada,27.4
2015,Delaware,38.3
2012,Missouri,29.9
2014,South Dakota,37.7
2012,Mississippi,36.7
2012,Alabama,34.5
2011,Massachusetts,22.1
2014,Montana,31.3
2012,Oregon,38.1
2015,North Carolina,26.7
2011,South Dakota,14.5
2014,New Jersey,23.4
2015,Massachusetts,39.2
2012,New York,24.7
2011,Idaho,24.3
2013,North Dakota,30.2
2013,Ohio,6.6
2012,Oklahoma,31.8
2015,Kentucky,36.2
2013,Michigan,30.3
2011,Minnesota,24.5
2014,Maine,23.5
2011,Iowa,22.8
2015,Louisiana,29.1
2015,Texas,28.3
2013,New Mexico,22.0
2015,Georgia,33.2
2011,Wisconsin,43.9
2011,Pennsylvania,16.4
2013,Alaska,32.7
2011,Illinois,29.0
2012,Minnesota,32.2
2012,Massachusetts,16.2
2015,Idaho,27.3
2015,District of Columbia,9.6
2014,Maryland,27.8
2011,Florida,27.8
2014,Rhode Island,20.5
2014,New York,30.4
2015,Montana,20.9
2013,Massachusetts,28.4
2015,Georgia,5.6
2015,Oregon,31.9
2015,Arizona,29.6
2015,Montana,30.2
2011,Nevada,27.5
2012,Maryland,33.7
2011,New York,32.5
2014,West Virginia,35.3
2015,Nevada,26.5
2013,Georgia,28.5
2015,Indiana,33.9
2011,Montana,21.1
2012,North Dakota,32.3
2015,Washington,25.3
2013,Ohio,24.6
2012,South Dakota,28.5
2012,Iowa,30.0
2015,Delaware,30.3
2013,Wisconsin,29.4
2015,New Mexico,39.2
2013,Pennsylvania,32.2
2013,New York,24.6
2011,Tennessee,24.7
2011,Kentucky,30.0
2013,Arkansas,29.6
2014,Louisiana,34.4
2015,Tennessee,27.0
2011,Arkansas,33.8
2015,Florida,13.2
2013,North Dakota,34.9
2012,Connecticut,28.7
2012,Nebraska,32.0
2011,North Dakota,29.0
2013,California,29.7
2012,Alaska,26.0
2014,Florida,33.1
2011,Connecticut,29.0
2015,Colorado,24.5
2015,Michigan,34.6
2015,Indiana,36.7
2011,Indiana,34.7
2011,South Carolina,24.1
2014,Ohio,41.6
2015,District of Columbia,23.3
2011,District of Columbia,31.0
2014,Nebraska,31.9
2012,Arizona,45.8
2012,West Virginia,31.3
2011,Nebraska,9.5
2012,Texas,22.0
2015,Alabama,40.3
2012,Montana,25.9
2014,Illinois,22.0
2011,Massachusetts,22.8
2015,Maryland,10.3
2011,Tennessee,29.2
2015,Maryland,28.2
2011,Utah,42.3
2011,Michigan,36.7
2012,Montana,23.0
2011,District of Columbia,34.8
2011,California,27.6
2013,Pennsylvania,35.3
2013,Kentucky,33.3
2011,New Mexico,23.7
2011,Michigan,31.3
2014,Colorado,24.2
2012,New Jersey,30.0
2014,Louisiana,32.9
2014,Delaware,32.7
2011,Georgia,8.6
2013,Michigan,32.7
2013,North Dakota,30.1
2012,Iowa,33.0
2011,Rhode Island,27.0
2014,Colorado,20.5
2013,Nebraska,28.2
2014,Rhode Island,24.8
2015,Alabama,41.1
2014,Indiana,30.6
2011,South Carolina,28.6
2014,Michigan,32.4
2015,Ohio,28.7
2015,Illinois,25.7
2012,South Dakota,35.8
2012,Arkansas,30.2
2014,Wisconsin,16.7
2013,Missouri,34.8
2012,North Carolina,32.8
2015,District of Columbia,28.8
2013,Idaho,23.0
2014,Maine,25.9
2011,Oregon,28.2
2012,District of Columbia,15.7
2014,New Jersey,33.2
2014,Massachusetts,27.6
2015,North Dakota,31.1
2011,Texas,47.6
2015,Wisconsin,30.1
2015,Missouri,32.6
2015,Hawaii,32.0
2015,Minnesota,21.0
2011,Florida,20.3
2014,Minnesota,31.1
2013,Delaware,36.8
2013,Oklahoma,29.9
2013,Virginia,10.2
2011,Washington,28.9
2013,Iowa,30.1
2015,Pennsylvania,36.2
2012,Indiana,30.9
2012,Texas,36.3
2011,Utah,22.9
2012,Alabama,39.7
2014,California,24.7
2012,Oklahoma,26.3
2014,Virginia,26.9
2012,Texas,28.3
2014,Louisiana,34.0
2013,Nebraska,30.9
2013,Kentucky,34.8
2015,New York,29.3
2012,North Carolina,36.5
2014,Idaho,25.9
2013,Alabama,41.3
2015,Virginia,30.3
2013,Rhode Island,32.0
2011,Utah,25.4
2015,Delaware,28.1
2014,Alaska,28.6
2012,Kentucky,25.6
2015,Indiana,35.3
2014,Massachusetts,26.7
2015,Idaho,27.3
2012,North Carolina,30.5
2012,Delaware,25.2
2013,Florida,34.9
2015,Maine,33.5
2015,Louisiana,33.6
2014,West Virginia,35.3
2011,Nevada,23.4
2014,Kentucky,39.5
2012,North Dakota,20.0
2015,Arkansas,36.9
2011,Oklahoma,30.6
2012,North Carolina,24.1
2014,New Hampshire,29.5
2014,Connecticut,27.7
2014,Louisiana,19.4
2015,Oregon,35.7
2012,North Dakota,18.1
2014,South Carolina,17.3
2014,Alaska,34.5
2013,California,17.0
2013,North Dakota,36.7
2013,Missouri,29.9
2013,Virginia,33.4
2013,Mississippi,41.2
2011,Illinois,28.1
2015,Texas,40.5
2011,Nevada,27.8
2012,Colorado,31.7
2011,Arkansas,31.0
2014,Indiana,33.8
2012,Ohio,39.4
2011,Kansas,26.3
2013,Oregon,28.4
2015,Connecticut,32.1
2012,California,30.2
2013,Wisconsin,29.8
2012,Tennessee,24.8
2014,Wisconsin,33.6
2011,Maine,25.8
2013,New Hampshire,28.5
2014,Wyoming,31.0
2015,South Carolina,31.7
2014,Arizona,23.2
2015,Pennsylvania,30.8
2014,Utah,23.1
2014,Rhode Island,29.8
2013,North Carolina,35.2
2014,Washington,33.6
2011,Maine,27.6
2014,Indiana,30.2
2012,Michigan,30.6
2015,Alabama,35.2
2013,Ohio,28.6
2015,Maine,30.4
2012,Illinois,35.8
2015,Massachusetts,25.5
2014,Pennsylvania,29.5
2014,Kentucky,35.4
2015,Alaska,33.1
2015,North Dakota,26.3
2014,Mississippi,36.9
2012,Nevada,25.7
2013,Texas,33.5
2014,Georgia,17.0
2012,Wisconsin,32.9
2012,Mississippi,22.4
2013,Kansas,29.4
2011,Arizona,21.2
2015,Texas,33.1
2015,Florida,28.7
2014,Idaho,30.3
2012,Maine,32.9
2011,Kentucky,36.4
2015,Arkansas,38.8
2013,Kentucky,34.2
2013,Arizona,27.2
2011,Rhode Island,25.4
2015,South Carolina,30.3
2012,Arkansas,46.0
2013,Massachusetts,20.6
2011,Wyoming,25.1
2015,Arkansas,40.4
2013,Arizona,34.5
2015,Kansas,31.0
2012,South Carolina,31.6
2014,Hawaii,21.4
2014,Rhode Island,27.0
2011,Connecticut,20.7
2012,North Carolina,30.0
2012,Mississippi,37.5
2013,Kansas,36.8
2014,Utah,29.3
2014,Alabama,35.2
2011,Maryland,27.9
2011,Oregon,15.3
2014,Colorado,18.7
2011,Vermont,25.3
2015,Florida,25.8
2013,Connecticut,9.2
2015,Rhode Island,30.0
2011,Idaho,26.2
2014,Arizona,33.6
2015,Wyoming,31.3
2011,Montana,23.3
2013,Mississippi,32.5
2013,Oklahoma,34.4
2011,Louisiana,36.3
2013,Utah,20.8
2015,Wyoming,33.3
2011,Kentucky,24.4
2015,Wisconsin,22.4
2012,Oregon,25.4
2013,Connecticut,25.5
2013,Hawaii,23.7
2015,Iowa,32.1
2015,Alabama,31.4
2015,Hawaii,22.5
2015,Montana,22.6
2011,Maine,24.5
2012,Wyoming,26.6
2015,Maryland,32.2
2011,New Mexico,19.4
2014,Kansas,31.5
2014,South Carolina,20.1
2015,Oklahoma,32.9
2012,New Hampshire,26.9
2011,Hawaii,23.1
2014,Missouri,52.4
2013,Vermont,27.6
2012,Rhode Island,30.6
2014,Vermont,21.3
2013,Maryland,31.1
2014,District of Columbia,34.1
2013,Louisiana,28.7
2014,Delaware,34.6
2012,Minnesota,28.5
2015,New Mexico,33.1
2011,Arizona,26.5
2014,South Dakota,25.6
2014,Wisconsin,56.9
2012,District of Columbia,9.6
2015,Arkansas,31.7
2015,Hawaii,17.1
2014,New Jersey,38.4
2012,Connecticut,24.4
2014,Nebraska,28.1
2014,New Mexico,30.5
2011,Kentucky,25.1
2011,North Dakota,26.5
2013,Iowa,32.5
2014,Alaska,36.0
2014,Utah,27.0
2011,Washington,28.4
2011,Wyoming,26.6
2015,Arizona,32.1
2015,Nevada,29.6
2012,North Dakota,29.1
2014,Wyoming,38.9
2014,Arkansas,35.8
2012,North Dakota,37.1
2014,North Dakota,42.6
2014,Indiana,34.7
2013,Texas,30.6
2013,Georgia,38.3
2011,West Virginia,29.6
2012,Maryland,28.7
2014,Arizona,32.1
2011,California,17.5
2012,New Mexico,29.5
2013,Nebraska,37.5
2013,Georgia,36.7
2013,Delaware,19.1
2012,Nevada,22.6
2015,New Jersey,32.6
2015,District of Columbia,19.8
2012,Louisiana,44.5
2011,Illinois,26.5
2015,Washington,28.0
2014,Alabama,40.6
2015,South Dakota,28.6
2013,Nevada,29.6
2011,North Dakota,33.0
2011,Virginia,34.3
2013,Nebraska,14.4
2012,Massachusetts,21.2
2015,Utah,26.0
2011,Colorado,23.5
2011,Michigan,32.6
2014,District of Columbia,33.9
2012,Pennsylvania,35.4
2012,Indiana,23.8
2015,Vermont,30.9
2013,North Carolina,33.2
2012,Vermont,21.1
2014,District of Columbia,19.5
2012,Hawaii,23.6
2013,North Carolina,24.0
2013,Virginia,32.4
2011,Colorado,17.5
2012,Ohio,30.6
2013,Alaska,31.7
2014,South Dakota,34.6
2014,New Hampshire,28.4
2013,Louisiana,40.5
2012,Maine,28.3
2012,North Carolina,26.5
2015,Oklahoma,32.0
2015,Maryland,29.8
2015,Arizona,24.2
2014,North Carolina,25.0
2012,Delaware,24.4
2014,Ohio,33.4
2015,Utah,27.6
2013,Indiana,34.4
2014,New Hampshire,21.0
2015,Arkansas,37.3
2012,Montana,31.1
2014,Rhode Island,30.5
2013,Wisconsin,36.1
2012,Wyoming,25.2
2015,Alaska,29.3
2011,Michigan,33.8
2012,Louisiana,38.2
2015,Illinois,28.4
2013,Massachusetts,23.5
2011,Rhode Island,35.2
2014,Rhode Island,31.8
2014,Arizona,31.4
2015,Alabama,35.6
2013,Arizona,25.5
2013,New Hampshire,33.5
2014,Vermont,24.2
2015,Mississippi,37.2
2012,Montana,27.9
2011,West Virginia,27.7
2012,Georgia,33.2
2011,District of Columbia,22.9
2014,Wisconsin,31.2
2012,California,34.8
2014,Utah,32.5
2014,Kansas,33.9
2013,Mississippi,38.2
2011,Pennsylvania,27.6
2012,Arizona,25.9
2011,Mississippi,37.5
2013,Illinois,35.8
2013,Missouri,39.1
2014,California,24.1
2014,Maryland,31.1
2015,California,19.6
2014,Kansas,15.2
2011,New York,26.5
2011,Nevada,27.4
2014,Indiana,35.5
2013,Connecticut,28.5
2011,Ohio,24.0
2015,Oklahoma,31.9
2014,Ohio,34.7
2011,North Dakota,26.6
2013,Texas,35.1
2011,Connecticut,32.8
2014,Virginia,35.4
2015,Connecticut,23.7
2015,Kentucky,41.2
2013,Arkansas,42.5
2013,Arkansas,39.6
2012,New York,7.8
2015,West Virginia,41.8
2013,North Dakota,28.5
2012,Kansas,23.6
2014,Louisiana,36.1
2011,California,27.6
2015,Arkansas,42.5
2013,North Carolina,25.5
2012,Hawaii,51.4
2014,New Mexico,24.2
2011,South Dakota,44.7
2012,Maine,32.9
2013,Maryland,29.0
2015,Massachusetts,33.4
2011,Delaware,33.5
2015,Idaho,34.5
2015,Wyoming,31.1
2013,Alabama,34.0
2012,New Jersey,18.3
2015,District of Columbia,15.4
2014,Ohio,40.7
2013,Pennsylvania,26.0
2012,Idaho,26.2
2015,Nevada,26.7
2013,Vermont,24.0
2012,Colorado,19.0
2011,New Hampshire,30.9
2015,Kansas,38.0
2012,Louisiana,30.0
2014,Vermont,28.1
2014,Idaho,30.5
2014,Washington,34.6
2014,Tennessee,18.6
2012,Montana,30.4
2012,Missouri,33.0
2013,Nevada,31.0
2015,New Hampshire,22.8
2014,Washington,23.4
2014,Montana,27.3
2011,Montana,24.3
2011,Washington,26.5
2011,Delaware,31.4
2011,Mississippi,25.9
2015,New Mexico,21.7
2014,Louisiana,43.4
2015,Kentucky,36.2
2013,Mississippi,35.0
2011,Alaska,28.8
2015,Connecticut,20.5
2013,Maine,28.4
2011,Arizona,26.8
2014,Maryland,26.8
2012,District of Columbia,32.9
2013,Mississippi,32.7
2015,Colorado,27.6
2015,Oregon,34.6
2012,Arkansas,38.5
2011,New Jersey,21.7
2012,Washington,34.8
2011,North Carolina,40.7
2011,Texas,39.5
2012,California,28.8
2013,Rhode Island,41.5
2015,Hawaii,30.3
2012,Illinois,39.2
2014,Washington,22.6
2015,Virginia,25.2
2013,Wyoming,17.1
2014,Illinois,29.3
2014,Oregon,29.4
2013,Maryland,33.1
2013,Florida,26.4
2011,Arizona,17.4
2011,Colorado,25.9
2014,Iowa,30.9
2012,Kansas,26.2
2011,Delaware,27.0
2014,Georgia,30.9
2012,Colorado,21.1
2014,Nebraska,28.6
2011,North Dakota,36.2
2013,South Dakota,29.2
2014,Illinois,30.3
2011,Missouri,32.2
2015,Montana,18.5
2015,Oklahoma,33.0
2012,North Carolina,24.5
2015,Minnesota,29.9
2012,Connecticut,21.2
2015,Colorado,18.7
2012,Delaware,15.8
2013,Maryland,15.4
2014,New York,32.6
2011,Tennessee,34.1
2015,Texas,33.5
2013,Oregon,31.0
2013,Pennsylvania,30.3
2011,Minnesota,23.7
2013,New Mexico,25.6
2015,New Hampshire,26.9
2013,Kansas,25.5
2012,Maryland,32.1
2014,South Dakota,54.3
2012,New Mexico,19.0
2015,Oklahoma,22.5
2012,Rhode Island,6.9
2013,Louisiana,27.3
2011,Massachusetts,18.6
2012,Alaska,21.5
2013,Massachusetts,22.1
2011,New Mexico,36.8
2011,Mississippi,39.2
2014,South Dakota,29.6
2013,Indiana,37.3
2012,South Dakota,28.7
2012,New Hampshire,20.8
2013,Tennessee,32.8
2012,North Carolina,11.0
2014,South Carolina,26.0
2013,Oklahoma,32.6
2011,Indiana,33.2
2012,Maine,25.9
2014,Colorado,18.2
2014,Texas,7.8
2013,Nebraska,32.1
2015,Maryland,34.2
2015,Nevada,26.7
2014,Tennessee,30.5
2011,Vermont,28.9
2012,Pennsylvania,31.9
2014,Nevada,12.7
2015,Illinois,31.3
2012,Texas,30.0
2015,Wisconsin,45.7
2012,Nebraska,35.8
2011,Delaware,25.3
2012,Michigan,32.0
2012,Louisiana,34.0
2015,Iowa,32.1
2012,Washington,25.6
2014,Wyoming,34.2
2012,Pennsylvania,32.9
2011,South Carolina,34.0
2015,Kansas,29.6
2015,Alaska,29.8
2014,Michigan,32.7
2015,North Dakota,23.5
2013,Idaho,33.6
2013,Oklahoma,18.3
2015,Maine,24.7
2011,Missouri,18.5
2012,Montana,26.3
2015,Maryland,35.1
2013,Michigan,39.2
2011,North Carolina,31.2
2014,Georgia,30.6
2013,Kansas,31.0
2015,Virginia,29.3
2011,Oregon,31.4
2014,Nevada,27.6
2013,Louisiana,17.7
2014,California,28.6
2012,Kentucky,33.2
2011,Massachusetts,26.0
2014,South Carolina,32.3
2015,West Virginia,35.4
2013,Nebraska,26.4
2012,South Carolina,27.2
2014,Colorado,24.1
2014,Kentucky,28.1
2014,Michigan,32.8
2011,Nevada,29.1
2013,Vermont,25.4
2013,South Dakota,30.7
2013,New York,34.2
2011,Indiana,35.3
2013,Kentucky,34.0
2013,California,38.6
2013,Nevada,21.4
2013,Michigan,30.6
2014,Texas,26.4
2013,Mississippi,28.2
2014,North Carolina,28.3
2014,California,32.1
2011,New Jersey,25.0
2015,Wisconsin,31.2
2014,Michigan,29.1
2015,Minnesota,40.9
2015,Iowa,32.5
2011,Vermont,28.7
2015,South Carolina,24.2
2015,California,33.9
2014,North Carolina,33.3
2011,Arkansas,38.1
2013,New Jersey,28.0
2015,Florida,28.0
2011,Texas,30.9
2013,Alabama,31.1
2015,Washington,29.0
2014,Hawaii,15.2
2012,Montana,17.7
2013,Arizona,23.5
2015,Delaware,29.2
2013,North Dakota,31.2
2015,Maryland,26.9
2014,Indiana,31.9
2011,Washington,27.0
2011,Delaware,26.4
2011,South Carolina,37.3
2011,New Hampshire,24.8
2013,Montana,21.3
2014,Alaska,35.2
2015,Ohio,31.9
2011,Ohio,32.8
2014,Montana,24.1
2013,Arkansas,36.0
2013,New Jersey,26.0
2011,Montana,23.5
2011,North Dakota,44.1
2013,Tennessee,38.6
2015,South Carolina,40.0
2011,Washington,29.3
2013,Alabama,28.4
2014,Utah,29.2
2014,Arizona,29.8
2014,Texas,32.5
2015,Texas,32.3
2011,Maine,33.7
2013,Michigan,16.5
2014,Utah,28.4
2015,Utah,25.0
2014,Wyoming,32.2
2013,Alabama,46.2
2014,Montana,27.7
2013,District of Columbia,35.5
2015,Rhode Island,24.1
2015,New York,24.3
2011,Texas,36.5
2014,Utah,29.4
2013,Hawaii,17.1
2012,Wyoming,26.4
2011,Wyoming,38.2
2011,Oregon,28.8
2015,Wyoming,28.0
2012,Kansas,36.0
2015,Florida,26.0
2012,North Carolina,30.4
2015,New Mexico,29.2
2012,Minnesota,14.2
2012,Idaho,22.6
2014,Missouri,27.9
2014,Oregon,26.6
2012,Colorado,22.0
2011,Oklahoma,29.4
2012,New York,23.0
2014,Montana,29.5
2015,Alabama,40.5
2015,Michigan,29.9
2012,Rhode Island,27.2
2011,Illinois,24.3
2012,South Carolina,37.5
2011,California,25.9
2011,Connecticut,16.1
2012,West Virginia,34.5
2012,Minnesota,28.0
2012,Kentucky,31.5
2014,Arkansas,53.6
2014,New York,27.3
2011,Idaho,27.0
2014,South Carolina,38.8
2011,New Hampshire,24.1
2012,Oklahoma,35.7
2014,Idaho,32.3
2014,Missouri,30.2
2013,Rhode Island,28.0
2015,Louisiana,40.0
2012,Nebraska,33.6
2014,Rhode Island,17.9
2015,Rhode Island,29.6
2014,Minnesota,31.5
2015,Kansas,38.6
2015,Rhode Island,36.0
2011,Rhode Island,24.1
2011,Idaho,29.0
2012,Alabama,34.1
2011,California,32.9
2012,Louisiana,19.6
2014,District of Columbia,34.2
2011,Alaska,30.9
2014,North Carolina,26.7
2015,Pennsylvania,21.3
2013,North Dakota,30.5
2015,Minnesota,10.6
2015,North Carolina,33.2
2012,Washington,27.3
2015,Ohio,30.4
